,ndcg,recall,precision,nrecs
Bias,0.08749363053823649,0.10526315789473684,,10.0
BiasedMF,0.0373847325187975,0.05263157894736842,,10.0
HPF,0.14012520948560492,0.17543859649122806,,10.0
II,0.053293035157426,0.11627906976744186,,9.488372093023257
Pop,0.16862007235950957,0.24561403508771928,,10.0
SVD,0.09396854714224599,0.10526315789473684,,10.0
UU,0.044128550472086886,0.10344827586206896,,9.551724137931034
Bias,0.008989259412505207,0.016666666666666666,,10.0
BiasedMF,0.03644930094186061,0.04259259259259259,,10.0
HPF,0.07496008526696461,0.11666666666666667,,10.0
II,0.020933465142247497,0.05627705627705627,,9.168831168831169
Pop,0.09002352639438842,0.16666666666666666,,10.0
SVD,0.006764223906971158,0.016666666666666666,,10.0
UU,0.04852895539526717,0.10884353741496598,,8.83673469387755
Bias,0.030017379794815103,0.04296875,,10.0
BiasedMF,0.040172747241860846,0.064453125,,10.0
HPF,0.09087004745008857,0.15755208333333334,,10.0
II,0.05081981536203094,0.08099688473520249,,8.654205607476635
Pop,0.05763135547817003,0.09375,,10.0
SVD,0.01991901242754135,0.03515625,,10.0
UU,0.021190737298562846,0.03125,,8.734375
Bias,0.010919453372491695,0.02240566037735849,,10.0
BiasedMF,0.01580288551063053,0.02641509433962264,,10.0
HPF,0.0770434545210448,0.1139937106918239,,10.0
II,0.035023386460481205,0.08282828282828282,,9.16969696969697
Pop,0.03526091960171736,0.055188679245283014,,10.0
SVD,0.007683449147955151,0.012971698113207548,,10.0
UU,0.016914413183509412,0.032721712538226304,,9.26605504587156
Bias,0.04230958578902947,0.05469173441734418,,10.0
BiasedMF,0.035624425393438866,0.051905487804878046,,10.0
HPF,0.055484671231529566,0.08419715447154472,,10.0
II,0.02709770674660248,0.044255050505050506,,8.842803030303031
Pop,0.03877247902051344,0.05842407084785133,,10.0
SVD,0.033842320316164506,0.04348746612466125,,10.0
UU,0.009514293621092513,0.014514514514514514,,8.675675675675675
Bias,0.020452180295830836,0.03165755919854281,,10.0
BiasedMF,0.015595569415398443,0.025066788099574987,,10.0
HPF,0.09611933311689487,0.13417194321565906,,10.0
II,0.02094815160029558,0.03680831598208089,,9.700170357751277
Pop,0.06796176323937367,0.10052216150576807,,10.0
SVD,0.01583250390043975,0.020197328476017,,10.0
UU,0.003617371747621342,0.006450545815415151,,9.233873635461462
Bias,0.009514035986624666,0.013895592020592021,,10.0
BiasedMF,0.006517880273699807,0.011418114543114543,,10.0
HPF,0.0923007637003188,0.1304626309983453,,10.0
II,0.008945175677050098,0.016754737010211462,,9.866936279345039
Pop,0.07027657403797802,0.11578587516087517,,10.0
SVD,0.005554916843794707,0.01113658301158301,,10.0
UU,0.0019609078596939597,0.0035439258211535435,,9.647194719471948
