,ndcg,recall,precision,nrecs
Bias,0.024342235127932203,0.029850746268656716,,10.0
BiasedMF,0.013909847003514011,0.029850746268656716,,10.0
HPF,0.04610741689563347,0.1044776119402985,,10.0
II,0.04622842690781805,0.06666666666666667,,3.933333333333333
Pop,0.021353381463781986,0.029850746268656716,,10.0
SVD,0.027704584882209286,0.04477611940298507,,10.0
UU,0.047619047619047616,0.047619047619047616,,6.0
Bias,0.02066767823497233,0.0410958904109589,,10.0
BiasedMF,0.021968864483697854,0.0365296803652968,,10.0
HPF,0.024950613843093973,0.04680365296803653,,10.0
II,0.021692727212083655,0.03496503496503497,,5.426573426573427
Pop,0.026712780557739634,0.0410958904109589,,10.0
SVD,0.022671164060620894,0.0410958904109589,,10.0
UU,0.01515151515151515,0.022727272727272728,,6.011363636363637
Bias,0.0062720247133898396,0.014236466977441289,,10.0
BiasedMF,0.003392959485063719,0.006255544627015352,,10.0
HPF,0.03279741104145503,0.05714664539733968,,10.0
II,0.005997692241691179,0.012071197881812098,,9.94948936541651
Pop,0.0501238333115589,0.08318118325784375,,10.0
SVD,0.0008689050228633789,0.0020548869860371826,,10.0
UU,0.00029441803261388144,0.0006129939678385006,,9.777291394015975
Bias,0.0023172303106008428,0.004675361903032319,,10.0
BiasedMF,0.001900483891587504,0.0035121012478958828,,10.0
HPF,0.03469687331985584,0.0574697042765017,,10.0
II,0.003430257363077674,0.0068893234195957255,,9.970274880906398
Pop,0.03850833222323653,0.06368503308340824,,10.0
SVD,0.0008340953885184069,0.0016610760361361265,,10.0
UU,0.00028832446313532936,0.0005447604340925664,,9.849440226483079
Bias,0.0012091805673371191,0.0019083969465648854,,10.0
BiasedMF,0.0016515484498457723,0.0030405534802815243,,10.0
HPF,0.03571202204857506,0.05692261672904533,,10.0
II,0.003092771871514007,0.006163497262210035,,9.970431868382969
Pop,0.03756964884175859,0.06289904460309512,,10.0
SVD,0.00089594105076851,0.0017869879956899822,,10.0
UU,0.00033665086099622307,0.0005942341247530815,,9.85966413258696
