,ndcg,recall,precision,nrecs
Bias,0.0192038668143902,0.029197080291970802,,10.0
BiasedMF,0.019960007667363718,0.04744525547445255,,10.0
HPF,0.049417570589289965,0.06934306569343066,,10.0
II,0.010452653487912847,0.02446483180428135,,8.009174311926605
Pop,0.05375606314327148,0.0705596107055961,,10.0
SVD,0.0170681659164994,0.0364963503649635,,10.0
UU,0.01982792497804294,0.04276315789473684,,7.9605263157894735
Bias,0.008704817415885692,0.01643598615916955,,10.0
BiasedMF,0.017822813288847147,0.03517877739331026,,10.0
HPF,0.027150240828602817,0.04498269896193772,,10.0
II,0.04228636405122614,0.07914151576123407,,8.659959758551308
Pop,0.020821562700708403,0.03460207612456748,,10.0
SVD,0.00917980337690357,0.01643598615916955,,10.0
UU,0.011870606296210466,0.018151815181518153,,8.01980198019802
Bias,0.005455908466839666,0.008628777412340853,,10.0
BiasedMF,0.0029990822372462007,0.005227864973447449,,10.0
HPF,0.049188261475591855,0.08386960287780876,,10.0
II,0.004635363402356022,0.008625484120071653,,9.97587941484918
Pop,0.060441484980488104,0.09433703580859881,,10.0
SVD,0.002105503076714374,0.004484915388270404,,10.0
UU,0.00042263675699173134,0.000687089451105299,,9.887303519175493
Bias,0.0019386650344266096,0.0040129783296607045,,10.0
BiasedMF,0.0016971029287360419,0.0030850890652964168,,10.0
HPF,0.0511724443545491,0.08047735854050651,,10.0
II,0.0019244468997383012,0.0036855388257763287,,9.990032542757751
Pop,0.043340986335369584,0.07108002218746799,,10.0
SVD,0.002051981737642333,0.003029149612561488,,10.0
UU,9.497484499990599e-05,0.00017615907070789316,,9.942119404807947
Bias,0.0011975225098100476,0.0022940864345579472,,10.0
BiasedMF,0.0012406857242536736,0.002183361824815656,,10.0
HPF,0.056004897375718524,0.08551934349576785,,10.0
II,0.0017800046174057604,0.003361785233361219,,9.99168996536492
Pop,0.04068966632583468,0.06615148113183476,,10.0
SVD,0.002072802288977071,0.002960425661800907,,10.0
UU,0.00010946922678265273,0.00021995123086914433,,9.944601698342094
