,ndcg,recall,precision,nrecs
Bias,0.02161887933505147,0.035898035547240414,,10.0
BiasedMF,0.01679804181544572,0.028765201122544434,,10.0
HPF,0.02252845480519828,0.039834736513875896,,10.0
II,0.02340629206685072,0.03552790979405461,,9.524461839530332
Pop,0.03915182280010652,0.05976880930108246,,10.0
SVD,0.016606016151354236,0.03367633302151544,,10.0
UU,0.006717354151909462,0.01112565445026178,,9.502617801047121
Bias,0.010116606426201017,0.016248977684308916,,10.0
BiasedMF,0.006641028726038788,0.011201659072321532,,10.0
HPF,0.01402842078627001,0.022838532538847996,,10.0
II,0.011166388989415693,0.018592321755027424,,9.620109689213894
Pop,0.016594582279871373,0.031133894146512443,,10.0
SVD,0.007337938184512768,0.009963196635120925,,10.0
UU,0.004161465162148894,0.006455685891169762,,9.58455522971652
Bias,0.0053245070807515175,0.010039641502930024,,10.0
BiasedMF,0.0036196134450330927,0.0064812274444420994,,10.0
HPF,0.012988713941143879,0.020115395348073734,,10.0
II,0.006537228680215044,0.012811582197454627,,9.831161985089238
Pop,0.02199983023797316,0.039723781618817816,,10.0
SVD,0.0019905283148070898,0.0029804993352046095,,10.0
UU,0.001926394113668172,0.0033063923585598823,,9.325985794758756
Bias,0.002726140162640938,0.004601719174891605,,10.0
BiasedMF,0.0021752183429624232,0.0034914353132908917,,10.0
HPF,0.009194291193565612,0.014558253185242401,,10.0
II,0.0040287738526115086,0.007648089037032852,,9.900257054885456
Pop,0.01875648997383744,0.031463893213147694,,10.0
SVD,0.0008322014432853954,0.0011369593404653743,,10.0
UU,0.0010356236619924043,0.0015544041450777201,,9.327733291463861
Bias,0.003848912493087304,0.0053993753131888235,,10.0
BiasedMF,0.0017034092048870267,0.0029193297323663802,,10.0
HPF,0.0070067053404876505,0.010794489379675202,,10.0
II,0.0038011768114938893,0.0073898786752650564,,9.873778555033336
Pop,0.013942031675358683,0.023683180833646737,,10.0
SVD,0.0006261746297468144,0.0010335103074348593,,10.0
UU,0.0007532572116193705,0.0010451841132014794,,9.312670847403119
