,ndcg,recall,precision,nrecs
Bias,0.02031256452639442,0.032273152478952294,,10.0
BiasedMF,0.014397096651911209,0.025257249766136577,,10.0
HPF,0.021904283381410164,0.04458995946367321,,10.0
II,0.015185708414755401,0.02665631469979296,,9.58498023715415
Pop,0.03325959046857889,0.0545681322107889,,10.0
SVD,0.014747195295248204,0.02350327408793265,,10.0
UU,0.005588641643920836,0.009156785243741765,,9.404479578392621
Bias,0.011219292867193895,0.017644056103572402,,10.0
BiasedMF,0.0074147991182892115,0.011579289970457162,,10.0
HPF,0.016333892938930224,0.02512559878490478,,10.0
II,0.011522089253761211,0.020701450708869105,,9.608308605341247
Pop,0.016474251009032496,0.030157339253028003,,10.0
SVD,0.0067668621957262505,0.008182280974079081,,10.0
UU,0.004766527393435119,0.006983346983346984,,9.466830466830467
Bias,0.005382380069586857,0.010383119121485202,,10.0
BiasedMF,0.004159876066099724,0.007090212851772905,,10.0
HPF,0.009602756080170619,0.01573879638032393,,10.0
II,0.006221907944575825,0.01216450542822678,,9.843636911942099
Pop,0.022515734947028007,0.03992184257363752,,10.0
SVD,0.001799247438261024,0.0024769783818387745,,10.0
UU,0.0018806785052100147,0.003587776815538785,,9.31782753927997
Bias,0.0022745658295160198,0.0038231535193715732,,10.0
BiasedMF,0.0020286287601464477,0.0033830081181046873,,10.0
HPF,0.010389036498694049,0.015597490912420822,,10.0
II,0.0038989264043033343,0.00716705244735505,,9.903601874329588
Pop,0.018662587286455066,0.03052657970372081,,10.0
SVD,0.00034381643800498514,0.0005794617392677648,,10.0
UU,0.0007561990237271509,0.0011735252699108121,,9.35716893548219
Bias,0.0023326995259129965,0.004618388705629662,,10.0
BiasedMF,0.0017446710711388417,0.0028275378670265584,,10.0
HPF,0.007251266851547823,0.011395017740108015,,10.0
II,0.004040596812299752,0.0074308835480524395,,9.873216353822958
Pop,0.013935097587965333,0.023375192610058864,,10.0
SVD,0.000265327405320758,0.0006497931544736942,,10.0
UU,0.0006561892745289194,0.0012244843217724846,,9.311378450148869
