,ndcg,recall,precision,nrecs
Bias,0.006891655725130445,0.012785388127853882,,10.0
BiasedMF,0.00346096230264462,0.0019569471624266144,,10.0
HPF,0.0,0.0,,10.0
II,0.0,0.0,,9.514285714285714
Pop,0.0011757662581091876,0.00228310502283105,,10.0
SVD,0.007392974467561579,0.014307458143074579,,10.0
UU,0.0,0.0,,9.71875
Bias,0.008887631672294229,0.014099188062321702,,10.0
BiasedMF,0.008724691798749098,0.019289005924950628,,10.0
HPF,0.01481865485836947,0.019201228878648235,,10.0
II,0.010102589765964511,0.013580246913580249,,9.976851851851851
Pop,0.012897230723872204,0.021466973886328726,,10.0
SVD,0.011740047173295173,0.01456001755540926,,10.0
UU,0.009231191902097723,0.008538587848932676,,10.0
Bias,0.01881166303043428,0.02722972972972973,,10.0
BiasedMF,0.010425671066707309,0.018333333333333333,,10.0
HPF,0.014332687228838906,0.022942942942942943,,10.0
II,0.0070370970032313275,0.009374043464952556,,9.980716253443527
Pop,0.0098569174394107,0.02118940368940369,,10.0
SVD,0.016220318955691596,0.023073788073788074,,10.0
UU,0.0020551914928209213,0.004334813021253699,,9.983050847457626
Bias,0.012179968676646079,0.019018276324614353,,10.0
BiasedMF,0.008607260739035066,0.013765928906773977,,10.0
HPF,0.006500988556483031,0.012558685446009389,,10.0
II,0.0039196136965363206,0.006553588987217305,,10.0
Pop,0.012305389982281336,0.0194297730829421,,10.0
SVD,0.008184824004632522,0.014455482897384306,,10.0
UU,0.005240729230075905,0.008609068627450981,,9.983455882352942
Bias,0.010285135115605758,0.016376374699938592,,10.0
BiasedMF,0.005103378545290763,0.006886990826029514,,10.0
HPF,0.011295891890446273,0.016490816725283314,,10.0
II,0.002632945425216077,0.006780660377358491,,9.99882075471698
Pop,0.010256466748706948,0.016641545246469044,,10.0
SVD,0.006650099567099599,0.011502819181599955,,10.0
UU,0.0016989835829207464,0.0030047443331576175,,10.0
Bias,0.006808628669281806,0.011005987190197717,,10.0
BiasedMF,0.005366970902747389,0.009142996379838484,,10.0
HPF,0.011122476407735449,0.01782755499860763,,10.0
II,0.0013834515911398137,0.002733569112879458,,10.0
Pop,0.013997831310407353,0.019365775549986076,,10.0
SVD,0.005381583065721145,0.008256404901141745,,10.0
UU,0.0006137644925296415,0.0011662257495590829,,10.0
Bias,0.007488484890218193,0.013178435287711019,,10.0
BiasedMF,0.004450322556448171,0.005857082350093785,,10.0
HPF,0.007004771712715978,0.012283435186865938,,10.0
II,0.00183202195768337,0.0033513915445081794,,10.0
Pop,0.012202380224161168,0.01912047961920897,,10.0
SVD,0.005558567862160033,0.0091547165244751,,10.0
UU,0.0011259440888193573,0.002407656647225961,,10.0
Bias,0.007191684323742421,0.011603596349973162,,10.0
BiasedMF,0.0056283230241740215,0.008694885361552029,,10.0
HPF,0.008787917043243805,0.013243616287094548,,10.0
II,0.0012620678724434352,0.002900306996283729,,10.0
Pop,0.012540466785974086,0.01852925389157273,,10.0
SVD,0.005857402476389493,0.009550456253354805,,10.0
UU,0.0006489788455481837,0.0007972601201504688,,10.0
Bias,0.0072812789673194845,0.01229757272558829,,10.0
BiasedMF,0.005379871770592643,0.007827959977765425,,10.0
HPF,0.006735387421774838,0.013544252980050644,,10.0
II,0.0009952453308569832,0.0024691358024691358,,10.0
Pop,0.01274978829406696,0.0201386572787351,,10.0
SVD,0.005210966387297619,0.006980575628435551,,10.0
UU,0.0002990691706510848,0.0004434438531859735,,9.998772001637331
Bias,0.006958660504898298,0.009626676158164708,,10.0
BiasedMF,0.006234774283339949,0.009948276384345086,,10.0
HPF,0.007571714274365736,0.01174875802738398,,10.0
II,0.0007793254081890805,0.0017621223391067191,,9.997449792795665
Pop,0.010555614108997798,0.015532735570903511,,10.0
SVD,0.005345448721564237,0.009372349448685325,,10.0
UU,0.0004511322105512607,0.001220327649615513,,9.990638582413908
Bias,0.008948953587783987,0.012820008274553728,,10.0
BiasedMF,0.007035309398594134,0.009450145813782177,,10.0
HPF,0.006428760724230965,0.010122957850230579,,10.0
II,0.0011120936603693878,0.0019545357977480346,,9.993307839388144
Pop,0.009221188536352114,0.013480711207983935,,10.0
SVD,0.007665857397056558,0.012330346421255514,,10.0
UU,0.00034163971692927883,0.0005347593582887701,,9.990641711229946
