,ndcg,recall,precision,nrecs
Bias,0.0037565016865249282,0.006138148228436544,,10.0
BiasedMF,0.0023019410060711484,0.0041308379699881975,,10.0
HPF,0.00865505474173984,0.012732735987667703,,10.0
II,0.003382732718626283,0.005062324330929977,,9.741659538066724
Pop,0.012740801336025924,0.020032155502565215,,10.0
SVD,0.004234230798249751,0.0062667100224004625,,10.0
UU,0.0024671567804658615,0.0036668787782373528,,9.883073496659243
Bias,0.0019007302861227704,0.0028319450463029834,,10.0
BiasedMF,0.0012466479986029083,0.0025754730608117866,,10.0
HPF,0.004973313781134943,0.007391705586852199,,10.0
II,0.0011182228409799843,0.0017960772419371143,,9.923991507430998
Pop,0.006155181236627904,0.008999630860095977,,10.0
SVD,0.0017282539649599658,0.0025856645320750478,,10.0
UU,3.833788552980456e-05,6.103143118706134e-05,,9.955447055233446
Bias,0.0008718821856471683,0.0014365662652130139,,10.0
BiasedMF,0.0004739962556431743,0.0007306938326270488,,10.0
HPF,0.008874824463514005,0.013937865980923978,,10.0
II,0.0004879633637503675,0.0006279134284385783,,9.971362927709855
Pop,0.011433395944069485,0.017385124151380743,,10.0
SVD,0.0006928249489030997,0.0006753449635699196,,10.0
UU,9.005426022382299e-05,0.00018968583283935982,,9.969294605809129
Bias,0.0006471002628645913,0.001071923973986862,,10.0
BiasedMF,0.00031654894122987084,0.0004802755603877174,,10.0
HPF,0.011468702751883159,0.017563345297172656,,10.0
II,0.0005733993953664604,0.0010604391855671108,,9.978167428532442
Pop,0.012676519384747927,0.018868638315864432,,10.0
SVD,0.0006326649299022873,0.0006167629390140906,,10.0
UU,8.191046214915641e-05,0.00024118921047450287,,9.978046859618035
Bias,0.000987692142536356,0.0015354136833010072,,10.0
BiasedMF,0.0005706905979730397,0.0012678926411320778,,10.0
HPF,0.008814640396680526,0.01368936844288957,,10.0
II,0.0003544805759833451,0.000582977069568597,,9.979660577795052
Pop,0.01308230810968455,0.019885076223104394,,10.0
SVD,0.0005827531213385829,0.0005982088728567602,,10.0
UU,8.828093469267555e-05,0.0001302567919612951,,9.97618161518422
Bias,0.0007997288859695638,0.0014032786182743232,,10.0
BiasedMF,0.00043371979573487166,0.0009742163319289347,,10.0
HPF,0.011411713448622495,0.017403318549164666,,10.0
II,0.0003279405431220836,0.00047186553920033404,,9.976323207015346
Pop,0.01163734025736458,0.018380310564934447,,10.0
SVD,0.0006166379721658986,0.0006295932697945215,,10.0
UU,7.173243722862249e-05,0.00014972776769509984,,9.981669691470055
