,ndcg,recall,precision,nrecs
Bias,0.07919637394014069,0.09615384615384616,,10.0
BiasedMF,0.03261567026056568,0.037820512820512825,,10.0
II,0.007400189844668481,0.013461538461538462,,10.0
Pop,0.09859467317554278,0.1184065934065934,,10.0
SVD,0.07150772549670288,0.08782051282051283,,10.0
UU,0.0014122506609984228,0.002702702702702703,,10.0
Bias,0.060470567009557316,0.06884707287933094,,10.0
BiasedMF,0.039921359318828536,0.041935483870967745,,10.0
II,0.011732162439781733,0.015053763440860216,,10.0
Pop,0.09146500787558663,0.09522956135859362,,10.0
SVD,0.05125603279912367,0.06347072879330944,,10.0
UU,0.007010815424489218,0.006451612903225807,,10.0
Bias,0.05255454622052436,0.06536949685534592,,10.0
BiasedMF,0.04125687116365871,0.04569481880802636,,10.0
II,0.014489762652435428,0.0179769392033543,,10.0
Pop,0.08451112354508955,0.10699311171009285,,10.0
SVD,0.044405005626160315,0.05556865828092244,,10.0
UU,0.0023901699674729352,0.00294811320754717,,10.0
Bias,0.0625299367012948,0.0713579244829245,,10.0
BiasedMF,0.05424797562980894,0.0570496632996633,,10.0
II,0.01635206232812898,0.020054713804713804,,10.0
Pop,0.10753139602829676,0.116872594997595,,10.0
SVD,0.04706811787754187,0.05127765752765753,,10.0
UU,0.0,0.0,,10.0
Bias,0.056804575466854704,0.06472922502334266,,10.0
BiasedMF,0.05659007445527242,0.053722541648238246,,10.0
II,0.018214424937806298,0.02427269153275345,,10.0
Pop,0.0999766574249129,0.11597744360902257,,10.0
SVD,0.047492366037438505,0.052634036070568574,,10.0
UU,0.0013136652651429565,0.002484472049689441,,10.0
Bias,0.049571236823715926,0.0628288906142167,,10.0
BiasedMF,0.047799630040298496,0.047568366114561764,,10.0
II,0.017358072813789677,0.02052385265700483,,10.0
Pop,0.10787206031211177,0.11805555555555555,,10.0
SVD,0.04434020845705838,0.05065454623878537,,10.0
UU,0.0021250739801813435,0.0032867494824016566,,10.0
Bias,0.05242671506875317,0.06540395728183747,,10.0
BiasedMF,0.05523127053471864,0.05487528344671202,,10.0
II,0.025249021781255612,0.030708251042352426,,10.0
Pop,0.11001811646025955,0.12475861312266844,,10.0
SVD,0.039392855461138965,0.043765086679833226,,10.0
UU,0.0029260640324505114,0.004249871991807476,,10.0
Bias,0.04656223622677576,0.054319679849340864,,10.0
BiasedMF,0.051095573204788095,0.04855898574118914,,10.0
II,0.02443462930373444,0.02530266343825666,,10.0
Pop,0.10649692364493263,0.1231781342480495,,10.0
SVD,0.04069460711229908,0.047766175679311275,,10.0
UU,0.0027983878780955427,0.004766949152542373,,10.0
