,ndcg,recall,precision,nrecs
Bias,0.08274137203849757,0.09658119658119659,,10.0
BiasedMF,0.06271662791210088,0.09423076923076923,,10.0
HPF,0.09840520641774037,0.12264957264957264,,10.0
II,0.018687278872263433,0.03141025641025641,,10.0
Pop,0.1054370676062564,0.10747863247863247,,10.0
SVD,0.07224227146435773,0.09337606837606838,,10.0
UU,0.012998518345901768,0.013513513513513514,,10.0
Bias,0.06465864473483521,0.06738351254480286,,10.0
BiasedMF,0.04481221675228447,0.0507168458781362,,10.0
HPF,0.11265530064685819,0.1252730841440519,,10.0
II,0.016393633739308838,0.01827956989247312,,10.0
Pop,0.08211088930690806,0.09312169312169312,,10.0
SVD,0.05352471436032466,0.06953405017921147,,10.0
UU,0.0034368384355593713,0.002173913043478261,,10.0
Bias,0.04853116249675687,0.05267295597484277,,10.0
BiasedMF,0.0455347530145211,0.044429469901168014,,10.0
HPF,0.14995289219862945,0.160515873015873,,10.0
II,0.013078966917277581,0.01726939203354298,,10.0
Pop,0.09529212473856988,0.11382337526205451,,10.0
SVD,0.04083169386225674,0.046187106918239,,10.0
UU,0.0032785592775726826,0.0033018867924528303,,10.0
Bias,0.05426258121086732,0.06136213323713324,,10.0
BiasedMF,0.04840978384619421,0.04323893698893699,,10.0
HPF,0.15834358792169764,0.16680796055796054,,10.0
II,0.01819075473648795,0.022757335257335257,,10.0
Pop,0.10322729906092817,0.12218314093314094,,10.0
SVD,0.043566291487654125,0.048163179413179415,,10.0
UU,0.001599279099137824,0.0020278833967046894,,10.0
Bias,0.05444123465736018,0.061468622536734,,10.0
BiasedMF,0.04773733063244957,0.04758464789424542,,10.0
HPF,0.15040447744863322,0.16364071944567302,,10.0
II,0.01651857150157026,0.018398938522777533,,10.0
Pop,0.10332048046933431,0.11295272494962898,,10.0
SVD,0.04336010489200987,0.04577129097252936,,10.0
UU,0.0012997000316133731,0.002173913043478261,,10.0
Bias,0.06367842525760037,0.06814721359558316,,10.0
BiasedMF,0.0603354623491669,0.057992581090407176,,10.0
HPF,0.16894369532910783,0.18499072636300895,,10.0
II,0.02818550647127743,0.029637896825396824,,10.0
Pop,0.10373951804784974,0.11478066770186335,,10.0
SVD,0.0563573103437032,0.06075310559006211,,10.0
UU,0.0024338917934959466,0.003532608695652174,,10.0
Bias,0.048445670766077635,0.05797216736156828,,10.0
BiasedMF,0.0471048010337744,0.04559834686562798,,10.0
HPF,0.17310372657260403,0.18202856411381757,,10.0
II,0.021514058212702556,0.025681186453075853,,10.0
Pop,0.10347256641399817,0.12230542754736304,,10.0
SVD,0.04347042989250433,0.05239192451174018,,10.0
UU,0.002027976851552127,0.0029185867895545315,,10.0
Bias,0.05747537734235907,0.06351812617702449,,10.0
BiasedMF,0.056736679943179325,0.05444663034705408,,10.0
HPF,0.17792772245733912,0.1846574858757062,,10.0
II,0.02546173461601567,0.02764746435297283,,10.0
Pop,0.11208182774672967,0.13134332122679582,,10.0
SVD,0.052656449183234026,0.05579684557438795,,10.0
UU,0.005173148796952995,0.006744350282485876,,10.0
