,ndcg,recall,precision,nrecs
Bias,0.09234403282756797,0.10256410256410256,,10.0
BiasedMF,0.05968247589979423,0.07841880341880342,,10.0
HPF,0.09778297560440387,0.12962962962962962,,10.0
II,0.017462039482392964,0.02371794871794872,,10.0
Pop,0.09999162619539582,0.12207977207977208,,10.0
SVD,0.06832366866967715,0.08012820512820513,,10.0
UU,0.015442582144353408,0.008333333333333333,,10.0
Bias,0.07076200321725952,0.07280252602833248,,10.0
BiasedMF,0.03564367218514906,0.04097968936678614,,10.0
HPF,0.09628646210788548,0.1084826762246117,,10.0
II,0.021078973882926542,0.02304147465437788,,10.0
Pop,0.09117229151794634,0.10237241850145076,,10.0
SVD,0.04523745064412067,0.05459976105137395,,10.0
UU,0.007902996602734174,0.009782608695652175,,10.0
Bias,0.09384139029925093,0.09001572327044026,,10.0
BiasedMF,0.05257865585272215,0.053904612159329145,,10.0
HPF,0.15328569644263526,0.16247753818508537,,10.0
II,0.012491818009608364,0.016745283018867924,,10.0
Pop,0.09057536148680885,0.10490790655884996,,10.0
SVD,0.05590907562270318,0.058267819706498955,,10.0
UU,0.014601736507685106,0.017535545023696683,,10.0
Bias,0.08970726632436214,0.08771795334295333,,10.0
BiasedMF,0.05556041089841551,0.0520983645983646,,10.0
HPF,0.15028838755090734,0.16084205146705147,,10.0
II,0.01828761087072498,0.020711580086580087,,10.0
Pop,0.10092922397338626,0.11160864598364599,,10.0
SVD,0.05180981587871655,0.05583814333814334,,10.0
UU,0.011837634120302783,0.014913392479932406,,10.0
Bias,0.07837607369557295,0.0788515406162465,,10.0
BiasedMF,0.04645351937562638,0.04701828099660917,,10.0
HPF,0.14474279632746972,0.15171138630890954,,10.0
II,0.012461853697146611,0.014890166592952973,,10.0
Pop,0.09864019926980443,0.11583984470981376,,10.0
SVD,0.03834562337333926,0.04545432207970908,,10.0
UU,0.007827587220010979,0.011342797988760723,,10.0
Bias,0.08895171738418389,0.08604317632850242,,10.0
BiasedMF,0.056801440740607965,0.05662957211870256,,10.0
HPF,0.17403114063811848,0.18902907177363698,,10.0
II,0.026889513053645103,0.029127846790890272,,10.0
Pop,0.10702894543794889,0.12359385783298826,,10.0
SVD,0.05404054881151133,0.06612426673567978,,10.0
UU,0.01470863977111701,0.019119867149758454,,10.0
Bias,0.08480357935026461,0.08442048862555776,,10.0
BiasedMF,0.052284720059350545,0.051015836442103724,,10.0
HPF,0.16187853504459704,0.1679531490015361,,10.0
II,0.02108236788983024,0.024538256162680128,,10.0
Pop,0.10445270859975582,0.118796174383732,,10.0
SVD,0.04618949370678625,0.055299539170506916,,10.0
UU,0.014386754601199004,0.017866286299466023,,10.0
Bias,0.0830368042831343,0.08376126580575732,,10.0
BiasedMF,0.05580967070994744,0.0539379876244283,,10.0
HPF,0.17983477880705065,0.19293112725316114,,10.0
II,0.0289107714202962,0.03262543718052193,,10.0
Pop,0.1062522458036602,0.12010273742265268,,10.0
SVD,0.044549836544828844,0.051568805488297016,,10.0
UU,0.013973885597612765,0.017361111111111112,,10.0
