,ndcg,recall,precision,nrecs
Bias,0.029107315463572345,0.04473684210526316,,10.0
BiasedMF,0.006707484276332825,0.013157894736842105,,10.0
HPF,0.04865117531981202,0.07134502923976609,,10.0
II,0.008646309497238464,0.005705705705705706,,10.0
Pop,0.0642347392128578,0.09502923976608187,,10.0
SVD,0.02161095724346762,0.018421052631578946,,10.0
UU,0.03423239470817288,0.04031531531531531,,10.0
Bias,0.02669912586717992,0.035778985507246376,,10.0
BiasedMF,0.019449347610554477,0.026733954451345757,,10.0
HPF,0.03946289549579822,0.04974120082815735,,10.0
II,0.01224123881530206,0.021208592132505175,,10.0
Pop,0.036382395156492504,0.0411231884057971,,10.0
SVD,0.018675193550532845,0.02898550724637681,,10.0
UU,0.0028564762071003015,0.0025,,10.0
Bias,0.02931497422706783,0.04059467388851275,,10.0
BiasedMF,0.024651907016163405,0.03059881140449861,,10.0
HPF,0.04075058713495949,0.05183367185736854,,10.0
II,0.006728294988162295,0.008575942225231325,,10.0
Pop,0.03868062652659571,0.04361129918001956,,10.0
SVD,0.023985299615605152,0.03032046941999549,,10.0
UU,0.0025049650853600177,0.0027891156462585037,,10.0
Bias,0.024675048683595272,0.03242048403645362,,10.0
BiasedMF,0.02291237716587159,0.028192709276359466,,10.0
HPF,0.037074112214430126,0.05079817731908987,,10.0
II,0.00651404092808094,0.006854668356569497,,10.0
Pop,0.04071886560506888,0.052187820628885266,,10.0
SVD,0.023257534181038663,0.0280644577222524,,10.0
UU,0.001031016490080802,0.0014721919302071972,,10.0
Bias,0.028411358497144112,0.0319801833776989,,10.0
BiasedMF,0.023303230488441563,0.02716775115843439,,10.0
HPF,0.04326601397226402,0.05953490091688849,,10.0
II,0.008113214328820962,0.011654589371980677,,10.0
Pop,0.039457464869318136,0.05364413881494627,,10.0
SVD,0.02628880771431948,0.027735876959479443,,10.0
UU,0.0014123267988194212,0.002612330198537095,,10.0
Bias,0.03313941657630175,0.04037806245686681,,10.0
BiasedMF,0.023889500135028083,0.027033730158730156,,10.0
HPF,0.0431609162371171,0.058217952035886825,,10.0
II,0.007690391694060396,0.009155020703933748,,10.0
Pop,0.04520772070744091,0.05791601966873706,,10.0
SVD,0.03117101769006567,0.036845453761214626,,10.0
UU,0.001035888577893768,0.0017304189435336976,,10.0
Bias,0.028190134450777917,0.03632049594031161,,10.0
BiasedMF,0.022174086135591572,0.02718802574793358,,10.0
HPF,0.05327495512946182,0.07130604930144101,,10.0
II,0.005158761127773157,0.00833973374295955,,10.0
Pop,0.04470684575072035,0.05810383293102187,,10.0
SVD,0.02519737899343284,0.031001755540926046,,10.0
UU,0.0013327153174172235,0.0013856812933025406,,10.0
Bias,0.023643642881636253,0.03230259617971482,,10.0
BiasedMF,0.023259330719351292,0.03222861178369653,,10.0
HPF,0.04378613018263787,0.0591168953457089,,10.0
II,0.004935813015385152,0.007097457627118644,,10.0
Pop,0.03979160632989363,0.04778887543718052,,10.0
SVD,0.02227879216531224,0.0303630279795534,,10.0
UU,0.0011653478385324945,0.0025423728813559325,,10.0
