,ndcg,recall,precision,nrecs
Bias,0.030133865304959997,0.03357732110632343,,10.0
BiasedMF,0.036395127567354836,0.036500965428708225,,10.0
HPF,0.10245996428328796,0.11683094738282011,,10.0
II,0.018073501150091414,0.021699128220507076,,10.0
Pop,0.08837265503057354,0.09678777930352342,,10.0
SVD,0.04165580185302027,0.04215687821919178,,10.0
UU,0.013820201423189245,0.016635736660612282,,10.0
Bias,0.03821473946611921,0.04199409033791279,,10.0
BiasedMF,0.040694515553074205,0.0429303564199225,,10.0
HPF,0.10813303691156348,0.12324852652775806,,10.0
II,0.01900362586105388,0.022774807173614724,,10.0
Pop,0.09695885801473086,0.10700142483845698,,10.0
SVD,0.046221459115916165,0.04778558547190545,,10.0
UU,0.01617030457886651,0.02131260058695446,,10.0
Bias,0.03788632014862232,0.04063084726164196,,10.0
BiasedMF,0.041488417415393435,0.042929149584778725,,10.0
HPF,0.11312066734741005,0.1270468043729633,,10.0
II,0.0204576368537772,0.024397929149584777,,10.0
Pop,0.09889361950118325,0.1078070797855566,,10.0
SVD,0.04963883720815688,0.05063071586250394,,10.0
UU,0.01068632238978744,0.015996136865342164,,10.0
Bias,0.03920820120516083,0.04059536949437612,,10.0
BiasedMF,0.041091911424172484,0.04154630505623883,,10.0
HPF,0.11862567720346216,0.13244152738358037,,10.0
II,0.019916627123635327,0.02337183328077368,,10.0
Pop,0.09689078308815148,0.1074205035214969,,10.0
SVD,0.048065909841032664,0.04927204877536004,,10.0
UU,0.013572985564836278,0.01809776263056581,,10.0
