,ndcg,recall,precision,nrecs
Bias,0.03434421085973104,0.03668734315071736,,10.0
BiasedMF,0.035524140352813094,0.037413256099036674,,10.0
II,0.015521774293607583,0.018912537946346366,,10.0
Pop,0.08800538315221099,0.09709411220017783,,10.0
SVD,0.040457293383254885,0.04208138011585145,,10.0
UU,0.011351768937116355,0.01550804180157414,,10.0
Bias,0.03910020367290566,0.04109305088934105,,10.0
BiasedMF,0.04125905022751444,0.042223457783245794,,10.0
II,0.022148790546917232,0.025788787415153763,,10.0
Pop,0.09360990151475831,0.10329447888242192,,10.0
SVD,0.048078861280903225,0.05022529272280846,,10.0
UU,0.010624998646133822,0.01591419834954318,,10.0
Bias,0.039134193944133124,0.04222011983601388,,10.0
BiasedMF,0.040764790256475066,0.04167809839167455,,10.0
II,0.02033647734392214,0.023852754125932935,,10.0
Pop,0.0990212580215704,0.1093531220435194,,10.0
SVD,0.049010597118312585,0.050077656890570796,,10.0
UU,0.013684024811672588,0.018537490076079015,,10.0
Bias,0.040239108480946216,0.042627457163881,,10.0
BiasedMF,0.041572456944386486,0.042428781667192265,,10.0
II,0.02056811743802168,0.023680621255124566,,10.0
Pop,0.09925289581767294,0.10830258593503626,,10.0
SVD,0.049229404432065,0.0498428466309261,,10.0
UU,0.015706477699915913,0.021241466544647456,,10.0
