,ndcg,recall,precision,nrecs
Bias,0.006915265264988176,0.009000811562225581,,10.0
BiasedMF,0.005939284962213703,0.008874163472725486,,10.0
HPF,0.0737636041046174,0.1137213456716153,,10.0
II,0.0006606316290906017,0.0014875592021879795,,9.995197118270962
Pop,0.07711610408229239,0.126144271036422,,10.0
SVD,0.007101046771775396,0.008966732289081,,10.0
UU,0.0006879885127759764,0.0009685751183814034,,9.99784761084804
Bias,0.006463943029357157,0.008259303031795276,,10.0
BiasedMF,0.006020784810461333,0.008800372613712842,,10.0
HPF,0.05707072036972757,0.08861373746327211,,10.0
II,0.00014157606738042194,0.0003727865796831314,,9.99968934451693
Pop,0.03742044940754591,0.05817242822671984,,10.0
SVD,0.007657948755863889,0.009633213506015988,,10.0
UU,6.352145577966145e-06,1.108770373655616e-05,,10.0
Bias,0.01555813280791864,0.02569160822046853,,10.0
BiasedMF,0.012886071624627656,0.01946528953773085,,10.0
HPF,0.06271515234772135,0.09326097810834776,,10.0
II,0.00029595393472514435,0.000643710252830774,,10.0
Pop,0.028021279686315143,0.04190635449448497,,10.0
SVD,0.014341115438143199,0.02026389027241278,,10.0
UU,0.0,0.0,,10.0
Bias,0.013939252131306402,0.024357010913614686,,10.0
BiasedMF,0.010788084722555167,0.016701720711154673,,10.0
HPF,0.06029667113844155,0.09173852876683065,,10.0
II,0.000217793914250481,0.0005413970685329459,,10.0
Pop,0.027889685587943847,0.04413945593190876,,10.0
SVD,0.013077822368410059,0.016966236070009657,,10.0
UU,5.791925817038e-05,7.727975270479135e-05,,10.0
