,ndcg,recall,precision,nrecs
Bias,0.017237689728183715,0.03068783068783069,,10.0
BiasedMF,0.030996877715369398,0.052910052910052914,,10.0
HPF,0.03218229995213431,0.046119929453262785,,10.0
II,0.02968830998126254,0.0493920972644377,,6.925531914893617
Pop,0.04449857142852683,0.06710758377425044,,10.0
SVD,0.017644271660071563,0.03068783068783069,,10.0
UU,0.01202314184535498,0.0379746835443038,,8.037974683544304
Bias,0.024033090987517502,0.04205128205128205,,10.0
BiasedMF,0.0197760658459672,0.02923076923076923,,10.0
HPF,0.02814041916739744,0.04133333333333333,,10.0
II,0.041580926015595265,0.06666666666666667,,8.019011406844106
Pop,0.04453836144361551,0.06461538461538462,,10.0
SVD,0.013346151218817938,0.021538461538461538,,10.0
UU,0.010870177148112767,0.016939890710382516,,8.420765027322405
Bias,0.020223889165640625,0.031081081081081083,,10.0
BiasedMF,0.013577202011507115,0.024474474474474477,,10.0
HPF,0.024292250544269416,0.04114114114114114,,10.0
II,0.02120647673411225,0.03403083700440528,,8.78193832599119
Pop,0.02892574247060437,0.0403003003003003,,10.0
SVD,0.018598368249354208,0.031081081081081083,,10.0
UU,0.00431707472007823,0.006515775034293553,,8.95679012345679
Bias,0.008780357185826494,0.013226299694189602,,10.0
BiasedMF,0.007719340912825532,0.01261467889908257,,10.0
HPF,0.024332801370573684,0.035932721712538224,,10.0
II,0.009746998300233034,0.016490765171503958,,8.990765171503957
Pop,0.02141703961087024,0.032626146788990826,,10.0
SVD,0.008417012022650336,0.012270642201834861,,10.0
UU,0.006644174276046279,0.009140767824497258,,9.027422303473491
Bias,0.0036529282730539663,0.006049960967993755,,10.0
BiasedMF,0.00808537317189375,0.013075722092115535,,10.0
HPF,0.016254168869881163,0.026567785584179025,,10.0
II,0.007266703864968425,0.013258594917787744,,9.078026905829596
Pop,0.0182608924625602,0.0256198654325118,,10.0
SVD,0.003878810663570757,0.006049960967993755,,10.0
UU,0.004876614761384625,0.009316770186335404,,9.118012422360248
Bias,0.004561444450748271,0.006845965770171149,,10.0
BiasedMF,0.003791009620651672,0.005574572127139365,,10.0
HPF,0.01162084040489192,0.01941320293398533,,10.0
II,0.007093252099667758,0.012028985507246376,,9.170108695652173
Pop,0.010743734378662202,0.018774789459386036,,10.0
SVD,0.004547664726236385,0.006845965770171149,,10.0
UU,0.002770635086511238,0.004782928623988227,,9.198675496688741
Bias,0.0040540037664294004,0.006424910723624247,,10.0
BiasedMF,0.0044881174715897115,0.007070390126555799,,10.0
HPF,0.007899544456894055,0.011771781194435728,,10.0
II,0.006155386511542555,0.010775862068965518,,9.255172413793103
Pop,0.009612719048921704,0.01653368595634049,,10.0
SVD,0.0032725795350984914,0.005203430603493358,,10.0
UU,0.002950023607240231,0.004588582983356665,,9.21091927204853
Bias,0.0033240806820425297,0.005525486796761032,,10.0
BiasedMF,0.002701449091555926,0.004928574952254099,,10.0
HPF,0.004252659185520323,0.007860983671254502,,10.0
II,0.007121896467476354,0.010583306987037622,,9.497154600063231
Pop,0.007647547485100199,0.0143568926756732,,10.0
SVD,0.0025267229355512874,0.003987986591212875,,10.0
UU,0.001537497765383023,0.002907415798217792,,9.259628454916175
Bias,0.002594928171056677,0.005187873521355944,,10.0
BiasedMF,0.0021398525256612023,0.004010708854612603,,10.0
HPF,0.0058047247370192,0.009332975519575393,,10.0
II,0.006645374410050424,0.011855354348312095,,9.641126760563381
Pop,0.00574831068681006,0.011614144718626335,,10.0
