,ndcg,recall,precision,nrecs
Bias,0.07894736842105263,0.08771929824561403,,10.0
BiasedMF,0.061602649669223485,0.08771929824561403,,10.0
II,0.07405894740454401,0.13953488372093023,,9.418604651162791
Pop,0.07499775187361592,0.13742690058479531,,10.0
SVD,0.08124438164160452,0.08771929824561403,,10.0
UU,0.07440421446812666,0.12903225806451613,,8.419354838709678
Bias,0.004500194698173121,0.012037037037037037,,10.0
BiasedMF,0.016244825233078134,0.02685185185185185,,10.0
II,0.04936499005306225,0.10247747747747747,,8.72972972972973
Pop,0.07167074807657091,0.11851851851851851,,10.0
SVD,0.0045460517945575705,0.012037037037037037,,10.0
UU,0.028450563915868046,0.04964539007092198,,8.446808510638299
Bias,0.020387147396814638,0.04296875,,10.0
BiasedMF,0.039167534139687696,0.0546875,,10.0
II,0.01939766895279786,0.052884615384615384,,9.288461538461538
Pop,0.053114938662140086,0.0796875,,10.0
SVD,0.02076616362083123,0.04296875,,10.0
UU,0.01850249433946073,0.05251141552511416,,9.10958904109589
Bias,0.006633277649092552,0.006570080862533693,,10.0
BiasedMF,0.033389441235210676,0.04941599281221923,,10.0
II,0.039486368961619396,0.08283433133732536,,9.275449101796408
Pop,0.04433093721032165,0.08086253369272237,,10.0
SVD,0.0065879159032868504,0.006570080862533693,,10.0
UU,0.0057357250324677955,0.01818181818181818,,9.0
Bias,0.02515111923789887,0.045164295392953926,,10.0
BiasedMF,0.03366380077359947,0.051981707317073175,,10.0
II,0.02876447558523777,0.05841092489137182,,8.726256983240223
Pop,0.04264884584730685,0.06349085365853659,,10.0
SVD,0.02643582684440047,0.04554539295392954,,10.0
UU,0.005960733217663081,0.008878504672897197,,8.70404984423676
Bias,0.019386428701126338,0.03118700667880996,,10.0
BiasedMF,0.011884135166822534,0.020871281117182755,,10.0
II,0.018873140970417455,0.03553708600931872,,9.673781639591992
Pop,0.06501046179630865,0.09851244687310262,,10.0
SVD,0.011934068270441987,0.019802671523983,,10.0
UU,0.003359379542790481,0.005910658655985759,,9.224632843791722
Bias,0.008684484787763494,0.013241634491634492,,10.0
BiasedMF,0.007666114858940015,0.012998712998712999,,10.0
II,0.009650346562218672,0.018264907617078534,,9.865117652850252
Pop,0.06914635415936485,0.11492760617760618,,10.0
SVD,0.005456148147541428,0.009612290862290861,,10.0
UU,0.0026493501078575653,0.00441290393979637,,9.633134130146082
