,ndcg,recall,precision,nrecs
Bias,0.0041666315273456095,0.004109589041095891,,10.0
BiasedMF,0.00346096230264462,0.0019569471624266144,,10.0
HPF,0.005899678877717713,0.0136986301369863,,10.0
II,0.0,0.0,,9.492957746478874
Pop,0.005787635245192263,0.012328767123287671,,10.0
SVD,0.0035811040730305077,0.004109589041095891,,10.0
UU,0.005337934604237454,0.010769230769230769,,9.707692307692307
Bias,0.010976591096554475,0.018087557603686636,,10.0
BiasedMF,0.014062593042786337,0.0228549484309853,,10.0
HPF,0.006536661892475443,0.013210445468509985,,10.0
II,0.006112891508919989,0.009859154929577466,,10.0
Pop,0.012677571831180378,0.02962109575012801,,10.0
SVD,0.00917760008910423,0.012903225806451613,,10.0
UU,0.0074661574626988855,0.0065181518151815184,,10.0
Bias,0.012306751564190917,0.01644144144144144,,10.0
BiasedMF,0.008501676662888168,0.0181981981981982,,10.0
HPF,0.006520929561382671,0.008108108108108109,,10.0
II,0.0052184573017079235,0.00983732351135666,,9.980662983425415
Pop,0.008243891026882954,0.016876876876876876,,10.0
SVD,0.012695606427520831,0.020585585585585587,,10.0
UU,0.00423294577088764,0.006070416835289356,,9.98583569405099
Bias,0.008644641231655294,0.015152023250614799,,10.0
BiasedMF,0.008018764659510649,0.011616225128549072,,10.0
HPF,0.007332239264368337,0.01168329420970266,,10.0
II,0.00403683916530871,0.007386571147633094,,10.0
Pop,0.013519584762960567,0.020530125195618153,,10.0
SVD,0.007816899431747093,0.014563072881734853,,10.0
UU,0.0017637859104502568,0.0029729259162531558,,9.985374771480805
Bias,0.009581320090458518,0.013486015742756657,,10.0
BiasedMF,0.005347117949783535,0.007145183200282849,,10.0
HPF,0.008813180722012332,0.014976553341148887,,10.0
II,0.0017363070349526687,0.0039163722025912845,,10.0
Pop,0.01184295760928195,0.018197212452781036,,10.0
SVD,0.007560562152653495,0.011989895606542735,,10.0
UU,0.0010690582916440552,0.0031941031941031942,,10.0
Bias,0.007078939504495422,0.011176900584795322,,10.0
BiasedMF,0.005840645256911779,0.009484126984126984,,10.0
HPF,0.006257910600871996,0.009543998886104148,,10.0
II,0.0017124545844902942,0.002511593045573628,,10.0
Pop,0.016579320007311882,0.0251395850737956,,10.0
SVD,0.006701949080104319,0.011498538011695907,,10.0
UU,0.0005728081982993536,0.0013339466421343146,,10.0
Bias,0.009946979948528818,0.01631496944394022,,10.0
BiasedMF,0.008430123348192991,0.013658962102418265,,10.0
HPF,0.005608745791010794,0.007690950162360582,,10.0
II,0.0012578229819072406,0.002708599404001703,,10.0
Pop,0.011938426313443284,0.01848414715314334,,10.0
SVD,0.008161222935097058,0.012815392993283718,,10.0
UU,0.0003758518968182866,0.0002690566317820827,,10.0
Bias,0.007233847035031416,0.01338183421516755,,10.0
BiasedMF,0.004745089465499275,0.00775975768729392,,10.0
HPF,0.005072611396736898,0.008725749559082892,,10.0
II,0.0005443564261804331,0.0012506070908207868,,10.0
Pop,0.01586962682490045,0.022130971551261407,,10.0
SVD,0.00518157116786239,0.008904608542289702,,10.0
UU,0.0005921216358960446,0.0009249887539361224,,10.0
Bias,0.006503527332876884,0.01060728182323513,,10.0
BiasedMF,0.004441723813470657,0.006268297202149342,,10.0
HPF,0.00796568924896123,0.012651009820270521,,10.0
II,0.0005103960367508583,0.0007215288611544462,,9.994929797191888
Pop,0.013693290685790121,0.020261410660243343,,10.0
SVD,0.004717085979424569,0.00646609227348527,,10.0
UU,0.0002553958261381786,0.0005871910419227093,,9.99877099549365
Bias,0.007308836355843687,0.010210554747768488,,10.0
BiasedMF,0.0047349435951657805,0.007225655317258371,,10.0
HPF,0.007489270695566718,0.011741185023627771,,10.0
II,0.0006452284967446519,0.001350319180147096,,9.997769279796048
Pop,0.012077121105137138,0.01775175188820227,,10.0
SVD,0.005100004874859306,0.009074351750878468,,10.0
UU,0.0007155628551033259,0.001032644903397735,,9.997668221185876
Bias,0.007813548537990668,0.010132544223453313,,10.0
BiasedMF,0.005653857070471044,0.008207575253029798,,10.0
HPF,0.006894117799342504,0.012141772369045097,,10.0
II,0.0003899964322676212,0.0006772048942640922,,9.997772119669001
Pop,0.010879492099783483,0.016310457219548127,,10.0
SVD,0.005968147718549366,0.00924870583961493,,10.0
UU,0.0005784247784809993,0.0012004001333777927,,9.995331777259086
