,ndcg,recall,precision,nrecs
Bias,0.011820661310020873,0.02442159383033419,,10.0
BiasedMF,0.00659502080893165,0.012853470437017995,,10.0
HPF,0.001526041296835695,0.0029991431019708655,,10.0
II,0.007100289798428394,0.014423076923076924,,6.427884615384615
Pop,0.011198214921173504,0.023886032562125105,,10.0
SVD,0.010134930078513786,0.016709511568123392,,10.0
UU,0.0006934728895247466,0.0012048192771084338,,9.397590361445783
Bias,0.001605864326485808,0.003172988969599139,,10.0
BiasedMF,0.0004887483824832165,0.0009104116222760292,,10.0
HPF,0.0035913764598636613,0.004583804143126177,,10.0
II,0.0015651630398368917,0.0016759776536312849,,9.057728119180632
Pop,0.005053092963463159,0.00745278450363196,,10.0
SVD,0.0010238264159528215,0.0017153618509550713,,10.0
UU,9.123075631182582e-05,0.00012239902080783354,,9.817625458996329
Bias,0.00220948320639314,0.0036559347085662872,,10.0
BiasedMF,0.001470499316796483,0.0025534991324465007,,10.0
HPF,0.003853200556613986,0.007051282051282051,,10.0
II,0.0014982738054309898,0.002087276550998948,,9.736593059936908
Pop,0.008177913074622107,0.013838549364865154,,10.0
SVD,0.0015678714669921975,0.0023690636848531584,,10.0
UU,7.14691610298434e-05,0.00022301516503122213,,9.838983050847459
Bias,0.0032657191617607713,0.0060651058885937675,,10.0
BiasedMF,0.001803389600679521,0.002922256217149133,,10.0
HPF,0.004372632748432606,0.006619484696679331,,10.0
II,0.0012261801170413513,0.0020901651452036986,,9.83594788620048
Pop,0.009023349199856616,0.015062927971847715,,10.0
SVD,0.0023578746509535504,0.0038757018458124596,,10.0
UU,0.00038550501156515033,0.0003757985719654265,,9.90304396843292
Bias,0.002511145389756497,0.004730224275991654,,10.0
BiasedMF,0.00125155614335994,0.0028073644384724906,,10.0
HPF,0.0053955247770054,0.009347381990189974,,10.0
II,0.0018787781531136526,0.0029296366770752017,,9.816598360655737
Pop,0.009859368259973083,0.015398354799593615,,10.0
SVD,0.002207203649384964,0.004557893356929833,,10.0
UU,0.0001456524123624027,0.0003671071953010279,,9.909324522760645
Bias,0.00309478322479103,0.004942107844197803,,10.0
BiasedMF,0.0015071222694293203,0.0029591527660587182,,10.0
HPF,0.005237687429277705,0.009547337790181952,,10.0
II,0.0021302199051831906,0.002835707019328586,,9.79908443540183
Pop,0.008512074930544473,0.015419398109084614,,10.0
SVD,0.0026904240720877757,0.004461265802701514,,10.0
UU,0.0001309103958500633,0.0003590664272890485,,9.91705565529623
